value,label
ALABAMA_BLUE_RIDGE,"Alabama, Blue Ridge"
ALABAMA_BLUE_SPRINGS,"Alabama, Blue Springs"
ALABAMA_BOAZ,"Alabama, Boaz"
ALABAMA_BOLIGEE,"Alabama, Boligee"
ALABAMA_BON_AIR,"Alabama, Bon Air"
ALABAMA_BRANCHVILLE,"Alabama, Branchville"
ALABAMA_BRANTLEY,"Alabama, Brantley"
ALABAMA_BRENT,"Alabama, Brent"
ALABAMA_BREWTON,"Alabama, Brewton"
ALABAMA_BRIDGEPORT,"Alabama, Bridgeport"
ALABAMA_BRIGHTON,"Alabama, Brighton"
ALABAMA_BRILLIANT,"Alabama, Brilliant"
ALABAMA_BROOKSIDE,"Alabama, Brookside"
ALABAMA_BROOKWOOD,"Alabama, Brookwood"
ALABAMA_BRUNDIDGE,"Alabama, Brundidge"
ALABAMA_BUTLER,"Alabama, Butler"
ALABAMA_BYNUM,"Alabama, Bynum"
ALABAMA_CAHABA_HEIGHTS,"Alabama, Cahaba Heights"
ALABAMA_CALERA,"Alabama, Calera"
ALABAMA_CAMDEN,"Alabama, Camden"
ALABAMA_CAMP_HILL,"Alabama, Camp Hill"
ALABAMA_CARBON_HILL,"Alabama, Carbon Hill"
ALABAMA_CARDIFF,"Alabama, Cardiff"
ALABAMA_CAROLINA,"Alabama, Carolina"
ALABAMA_CARROLLTON,"Alabama, Carrollton"
ALABAMA_CASTLEBERRY,"Alabama, Castleberry"
ALABAMA_CEDAR_BLUFF,"Alabama, Cedar Bluff"
ALABAMA_CENTER_POINT,"Alabama, Center Point"
ALABAMA_CENTRE,"Alabama, Centre"
ALABAMA_CENTREVILLE,"Alabama, Centreville"
ALABAMA_CHALKVILLE,"Alabama, Chalkville"
ALABAMA_CHATOM,"Alabama, Chatom"
ALABAMA_CHELSEA,"Alabama, Chelsea"
ALABAMA_CHEROKEE,"Alabama, Cherokee"
ALABAMA_CHICKASAW,"Alabama, Chickasaw"
ALABAMA_CHILDERSBURG,"Alabama, Childersburg"
ALABAMA_CITRONELLE,"Alabama, Citronelle"
ALABAMA_CLANTON,"Alabama, Clanton"
ALABAMA_CLAY,"Alabama, Clay"
ALABAMA_CLAYHATCHEE,"Alabama, Clayhatchee"
ALABAMA_CLAYTON,"Alabama, Clayton"
ALABAMA_CLEVELAND,"Alabama, Cleveland"
ALABAMA_CLIO,"Alabama, Clio"
ALABAMA_COALING,"Alabama, Coaling"
ALABAMA_COFFEE_SPRINGS,"Alabama, Coffee Springs"
ALABAMA_COFFEEVILLE,"Alabama, Coffeeville"
ALABAMA_COKER,"Alabama, Coker"
ALABAMA_COLLINSVILLE,"Alabama, Collinsville"
ALABAMA_COLONY,"Alabama, Colony"
ALABAMA_COLUMBIA,"Alabama, Columbia"
ALABAMA_COLUMBIANA,"Alabama, Columbiana"
ALABAMA_CONCORD,"Alabama, Concord"
ALABAMA_COOSADA,"Alabama, Coosada"
ALABAMA_CORDOVA,"Alabama, Cordova"
ALABAMA_COTTONWOOD,"Alabama, Cottonwood"
ALABAMA_COUNTY_LINE,"Alabama, County Line"
ALABAMA_COURTLAND,"Alabama, Courtland"
ALABAMA_COWARTS,"Alabama, Cowarts"
ALABAMA_CREOLA,"Alabama, Creola"
ALABAMA_CROSSVILLE,"Alabama, Crossville"
ALABAMA_CUBA,"Alabama, Cuba"
ALABAMA_CULLMAN,"Alabama, Cullman"
ALABAMA_DADEVILLE,"Alabama, Dadeville"
ALABAMA_DALEVILLE,"Alabama, Daleville"
ALABAMA_DAPHNE,"Alabama, Daphne"
ALABAMA_DAUPHIN_ISLAND,"Alabama, Dauphin Island"
ALABAMA_DAVISTON,"Alabama, Daviston"
ALABAMA_DAYTON,"Alabama, Dayton"
ALABAMA_DEATSVILLE,"Alabama, Deatsville"
ALABAMA_DECATUR,"Alabama, Decatur"
ALABAMA_DEMOPOLIS,"Alabama, Demopolis"
ALABAMA_DETROIT,"Alabama, Detroit"
ALABAMA_DODGE_CITY,"Alabama, Dodge City"
ALABAMA_DORA,"Alabama, Dora"
ALABAMA_DOTHAN,"Alabama, Dothan"
ALABAMA_DOUBLE_SPRINGS,"Alabama, Double Springs"
ALABAMA_DOUGLAS,"Alabama, Douglas"
ALABAMA_DOZIER,"Alabama, Dozier"
ALABAMA_DUTTON,"Alabama, Dutton"
ALABAMA_EAST_BREWTON,"Alabama, East Brewton"
ALABAMA_ECLECTIC,"Alabama, Eclectic"
ALABAMA_EDGEWATER,"Alabama, Edgewater"
ALABAMA_EDWARDSVILLE,"Alabama, Edwardsville"
ALABAMA_ELBA,"Alabama, Elba"
ALABAMA_ELBERTA,"Alabama, Elberta"
ALABAMA_ELDRIDGE,"Alabama, Eldridge"
ALABAMA_ELKMONT,"Alabama, Elkmont"
ALABAMA_ELMORE,"Alabama, Elmore"
ALABAMA_EMELLE,"Alabama, Emelle"
ALABAMA_ENTERPRISE,"Alabama, Enterprise"
ALABAMA_EPES,"Alabama, Epes"
ALABAMA_ETHELSVILLE,"Alabama, Ethelsville"
ALABAMA_EUFAULA,"Alabama, Eufaula"
ALABAMA_EUNOLA,"Alabama, Eunola"
ALABAMA_EUTAW,"Alabama, Eutaw"
ALABAMA_EVA,"Alabama, Eva"
ALABAMA_EVERGREEN,"Alabama, Evergreen"
ALABAMA_EXCEL,"Alabama, Excel"
ALABAMA_FAIRFIELD,"Alabama, Fairfield"
ALABAMA_FAIRHOPE,"Alabama, Fairhope"
ALABAMA_FAIRVIEW,"Alabama, Fairview"
ALABAMA_FALKVILLE,"Alabama, Falkville"
ALABAMA_FAUNSDALE,"Alabama, Faunsdale"
ALABAMA_FAYETTE,"Alabama, Fayette"
ALABAMA_FIVE_POINTS,"Alabama, Five Points"
ALABAMA_FLOMATON,"Alabama, Flomaton"
ALABAMA_FLORALA,"Alabama, Florala"
ALABAMA_FLORENCE,"Alabama, Florence"
ALABAMA_FOLEY,"Alabama, Foley"
ALABAMA_FORESTDALE,"Alabama, Forestdale"
ALABAMA_FORKLAND,"Alabama, Forkland"
ALABAMA_FORT_DEPOSIT,"Alabama, Fort Deposit"
ALABAMA_FORT_PAYNE,"Alabama, Fort Payne"
ALABAMA_FORT_RUCKER,"Alabama, Fort Rucker"
ALABAMA_FRANKLIN,"Alabama, Franklin"
ALABAMA_FRISCO_CITY,"Alabama, Frisco City"
ALABAMA_FRUITHURST,"Alabama, Fruithurst"
ALABAMA_FULTON,"Alabama, Fulton"
ALABAMA_FULTONDALE,"Alabama, Fultondale"
ALABAMA_FYFFE,"Alabama, Fyffe"
ALABAMA_GADSDEN,"Alabama, Gadsden"
ALABAMA_GAINESVILLE,"Alabama, Gainesville"
ALABAMA_GANTT,"Alabama, Gantt"
ALABAMA_GANTTS_QUARRY,"Alabama, Gantts Quarry"
ALABAMA_GARDEN_CITY,"Alabama, Garden City"
ALABAMA_GARDENDALE,"Alabama, Gardendale"
ALABAMA_GAYLESVILLE,"Alabama, Gaylesville"
ALABAMA_GEIGER,"Alabama, Geiger"
ALABAMA_GENEVA,"Alabama, Geneva"
ALABAMA_GEORGIANA,"Alabama, Georgiana"
ALABAMA_GERALDINE,"Alabama, Geraldine"
ALABAMA_GILBERTOWN,"Alabama, Gilbertown"
ALABAMA_GLEN_ALLEN,"Alabama, Glen Allen"
ALABAMA_GLENCOE,"Alabama, Glencoe"
ALABAMA_GLENWOOD,"Alabama, Glenwood"
ALABAMA_GOLDVILLE,"Alabama, Goldville"
ALABAMA_GOOD_HOPE,"Alabama, Good Hope"
ALABAMA_GOODWATER,"Alabama, Goodwater"
ALABAMA_GORDO,"Alabama, Gordo"
ALABAMA_GORDON,"Alabama, Gordon"
ALABAMA_GORDONVILLE,"Alabama, Gordonville"
ALABAMA_GOSHEN,"Alabama, Goshen"
ALABAMA_GRAND_BAY,"Alabama, Grand Bay"
ALABAMA_GRANT,"Alabama, Grant"
ALABAMA_GRAYSON_VALLEY,"Alabama, Grayson Valley"
ALABAMA_GRAYSVILLE,"Alabama, Graysville"
ALABAMA_GREENSBORO,"Alabama, Greensboro"
ALABAMA_GREENVILLE,"Alabama, Greenville"
ALABAMA_GRIMES,"Alabama, Grimes"
ALABAMA_GROVE_HILL,"Alabama, Grove Hill"
ALABAMA_GUIN,"Alabama, Guin"
ALABAMA_GULF_SHORES,"Alabama, Gulf Shores"
ALABAMA_GUNTERSVILLE,"Alabama, Guntersville"
ALABAMA_GURLEY,"Alabama, Gurley"
ALABAMA_GU_WIN,"Alabama, Gu-Win"
ALABAMA_HACKLEBURG,"Alabama, Hackleburg"
ALABAMA_HALEBURG,"Alabama, Haleburg"
ALABAMA_HALEYVILLE,"Alabama, Haleyville"
ALABAMA_HAMILTON,"Alabama, Hamilton"
ALABAMA_HAMMONDVILLE,"Alabama, Hammondville"
ALABAMA_HANCEVILLE,"Alabama, Hanceville"
ALABAMA_HARPERSVILLE,"Alabama, Harpersville"
ALABAMA_HARTFORD,"Alabama, Hartford"
ALABAMA_HARTSELLE,"Alabama, Hartselle"
ALABAMA_HARVEST,"Alabama, Harvest"
ALABAMA_HAYDEN,"Alabama, Hayden"
ALABAMA_HAYNEVILLE,"Alabama, Hayneville"
ALABAMA_HAZEL_GREEN,"Alabama, Hazel Green"
ALABAMA_HEADLAND,"Alabama, Headland"
ALABAMA_HEATH,"Alabama, Heath"
ALABAMA_HEFLIN,"Alabama, Heflin"
ALABAMA_HELENA,"Alabama, Helena"
ALABAMA_HENAGAR,"Alabama, Henagar"
ALABAMA_HIGHLAND_LAKE,"Alabama, Highland Lake"
ALABAMA_HILLSBORO,"Alabama, Hillsboro"
ALABAMA_HOBSON_CITY,"Alabama, Hobson City"
ALABAMA_HODGES,"Alabama, Hodges"
ALABAMA_HOKES_BLUFF,"Alabama, Hokes Bluff"
ALABAMA_HOLLY_POND,"Alabama, Holly Pond"
ALABAMA_HOLLYWOOD,"Alabama, Hollywood"
ALABAMA_HOLT,"Alabama, Holt"
ALABAMA_HOMEWOOD,"Alabama, Homewood"
ALABAMA_HOOVER,"Alabama, Hoover"
ALABAMA_HORN_HILL,"Alabama, Horn Hill"
ALABAMA_HUEYTOWN,"Alabama, Hueytown"
ALABAMA_HUGULEY,"Alabama, Huguley"
ALABAMA_HUNTSVILLE,"Alabama, Huntsville"
ALABAMA_HURTSBORO,"Alabama, Hurtsboro"
ALABAMA_HYTOP,"Alabama, Hytop"
ALABAMA_IDER,"Alabama, Ider"
ALABAMA_INDIAN_SPRINGS_VILLAGE,"Alabama, Indian Springs Village"
ALABAMA_IRONDALE,"Alabama, Irondale"
ALABAMA_JACKSON,"Alabama, Jackson"
ALABAMA_JACKSONS__GAP,"Alabama, Jacksons' Gap"
ALABAMA_JACKSONVILLE,"Alabama, Jacksonville"
ALABAMA_JASPER,"Alabama, Jasper"
ALABAMA_JEMISON,"Alabama, Jemison"
ALABAMA_KANSAS,"Alabama, Kansas"
ALABAMA_KENNEDY,"Alabama, Kennedy"
ALABAMA_KILLEN,"Alabama, Killen"
ALABAMA_KIMBERLY,"Alabama, Kimberly"
ALABAMA_KINSEY,"Alabama, Kinsey"
ALABAMA_KINSTON,"Alabama, Kinston"
ALABAMA_LADONIA,"Alabama, Ladonia"
ALABAMA_LA_FAYETTE,"Alabama, La Fayette"
ALABAMA_LAKE_PURDY,"Alabama, Lake Purdy"
ALABAMA_LAKEVIEW,"Alabama, Lakeview"
ALABAMA_LAKE_VIEW,"Alabama, Lake View"
ALABAMA_LANETT,"Alabama, Lanett"
ALABAMA_LANGSTON,"Alabama, Langston"
ALABAMA_LEEDS,"Alabama, Leeds"
ALABAMA_LEESBURG,"Alabama, Leesburg"
ALABAMA_LEIGHTON,"Alabama, Leighton"
ALABAMA_LESTER,"Alabama, Lester"
ALABAMA_LEVEL_PLAINS,"Alabama, Level Plains"
ALABAMA_LEXINGTON,"Alabama, Lexington"
ALABAMA_LIBERTYVILLE,"Alabama, Libertyville"
ALABAMA_LINCOLN,"Alabama, Lincoln"
ALABAMA_LINDEN,"Alabama, Linden"
ALABAMA_LINEVILLE,"Alabama, Lineville"
ALABAMA_LIPSCOMB,"Alabama, Lipscomb"
ALABAMA_LISMAN,"Alabama, Lisman"
ALABAMA_LITTLEVILLE,"Alabama, Littleville"
ALABAMA_LIVINGSTON,"Alabama, Livingston"
ALABAMA_LOACHAPOKA,"Alabama, Loachapoka"
ALABAMA_LOCKHART,"Alabama, Lockhart"
ALABAMA_LOCUST_FORK,"Alabama, Locust Fork"
ALABAMA_LOUISVILLE,"Alabama, Louisville"
ALABAMA_LOWNDESBORO,"Alabama, Lowndesboro"
ALABAMA_LOXLEY,"Alabama, Loxley"
ALABAMA_LUVERNE,"Alabama, Luverne"
ALABAMA_LYNN,"Alabama, Lynn"
ALABAMA_MCDONALD_CHAPEL,"Alabama, McDonald Chapel"
ALABAMA_MACEDONIA,"Alabama, Macedonia"
ALABAMA_MCINTOSH,"Alabama, McIntosh"
ALABAMA_MCKENZIE,"Alabama, McKenzie"
ALABAMA_MCMULLEN,"Alabama, McMullen"
ALABAMA_MADISON,"Alabama, Madison"
ALABAMA_MADRID,"Alabama, Madrid"
ALABAMA_MALVERN,"Alabama, Malvern"
ALABAMA_MAPLESVILLE,"Alabama, Maplesville"
ALABAMA_MARGARET,"Alabama, Margaret"
ALABAMA_MARION,"Alabama, Marion"
ALABAMA_MAYTOWN,"Alabama, Maytown"
ALABAMA_MEADOWBROOK,"Alabama, Meadowbrook"
ALABAMA_MEMPHIS,"Alabama, Memphis"
ALABAMA_MENTONE,"Alabama, Mentone"
ALABAMA_MERIDIANVILLE,"Alabama, Meridianville"
ALABAMA_MIDFIELD,"Alabama, Midfield"
ALABAMA_MIDLAND_CITY,"Alabama, Midland City"
ALABAMA_MIDWAY,"Alabama, Midway"
ALABAMA_MIGNON,"Alabama, Mignon"
ALABAMA_MILLBROOK,"Alabama, Millbrook"
ALABAMA_MILLPORT,"Alabama, Millport"
ALABAMA_MILLRY,"Alabama, Millry"
ALABAMA_MINOR,"Alabama, Minor"
ALABAMA_MOBILE,"Alabama, Mobile"
ALABAMA_MONROEVILLE,"Alabama, Monroeville"
ALABAMA_MONTEVALLO,"Alabama, Montevallo"
ALABAMA_MONTGOMERY,"Alabama, Montgomery"
ALABAMA_MOODY,"Alabama, Moody"
ALABAMA_MOORES_MILL,"Alabama, Moores Mill"
ALABAMA_MOORESVILLE,"Alabama, Mooresville"
ALABAMA_MORRIS,"Alabama, Morris"
ALABAMA_MOSSES,"Alabama, Mosses"
ALABAMA_MOULTON,"Alabama, Moulton"
ALABAMA_MOUNDVILLE,"Alabama, Moundville"
ALABAMA_MOUNTAINBORO,"Alabama, Mountainboro"
ALABAMA_MOUNTAIN_BROOK,"Alabama, Mountain Brook"
ALABAMA_MOUNT_OLIVE,"Alabama, Mount Olive"
ALABAMA_MOUNT_VERNON,"Alabama, Mount Vernon"
ALABAMA_MULGA,"Alabama, Mulga"
ALABAMA_MUNFORD,"Alabama, Munford"
ALABAMA_MUSCLE_SHOALS,"Alabama, Muscle Shoals"
ALABAMA_MYRTLEWOOD,"Alabama, Myrtlewood"
ALABAMA_NAPIER_FIELD,"Alabama, Napier Field"
ALABAMA_NATURAL_BRIDGE,"Alabama, Natural Bridge"
ALABAMA_NAUVOO,"Alabama, Nauvoo"
ALABAMA_NECTAR,"Alabama, Nectar"
ALABAMA_NEEDHAM,"Alabama, Needham"
ALABAMA_NEWBERN,"Alabama, Newbern"
ALABAMA_NEW_BROCKTON,"Alabama, New Brockton"
ALABAMA_NEW_HOPE,"Alabama, New Hope"
ALABAMA_NEW_MARKET,"Alabama, New Market"
ALABAMA_NEW_SITE,"Alabama, New Site"
ALABAMA_NEWTON,"Alabama, Newton"
ALABAMA_NEWVILLE,"Alabama, Newville"
ALABAMA_NORTH_BIBB,"Alabama, North Bibb"
ALABAMA_NORTH_COURTLAND,"Alabama, North Courtland"
ALABAMA_NORTH_JOHNS,"Alabama, North Johns"
ALABAMA_NORTHPORT,"Alabama, Northport"
ALABAMA_NOTASULGA,"Alabama, Notasulga"
ALABAMA_OAK_GROVE,"Alabama, Oak Grove"
ALABAMA_OAK_HILL,"Alabama, Oak Hill"
ALABAMA_OAKMAN,"Alabama, Oakman"
ALABAMA_ODENVILLE,"Alabama, Odenville"
ALABAMA_OHATCHEE,"Alabama, Ohatchee"
ALABAMA_ONEONTA,"Alabama, Oneonta"
ALABAMA_ONYCHA,"Alabama, Onycha"
ALABAMA_OPELIKA,"Alabama, Opelika"
ALABAMA_OPP,"Alabama, Opp"
ALABAMA_ORANGE_BEACH,"Alabama, Orange Beach"
ALABAMA_ORRVILLE,"Alabama, Orrville"
ALABAMA_OWENS_CROSS_ROADS,"Alabama, Owens Cross Roads"
ALABAMA_OXFORD,"Alabama, Oxford"
ALABAMA_OZARK,"Alabama, Ozark"
ALABAMA_PAINT_ROCK,"Alabama, Paint Rock"
ALABAMA_PARRISH,"Alabama, Parrish"
ALABAMA_PELHAM,"Alabama, Pelham"
ALABAMA_PELL_CITY,"Alabama, Pell City"
ALABAMA_PENNINGTON,"Alabama, Pennington"
ALABAMA_PETREY,"Alabama, Petrey"
ALABAMA_PHENIX_CITY,"Alabama, Phenix City"
ALABAMA_PHIL_CAMPBELL,"Alabama, Phil Campbell"
ALABAMA_PICKENSVILLE,"Alabama, Pickensville"
ALABAMA_PIEDMONT,"Alabama, Piedmont"
ALABAMA_PIKE_ROAD,"Alabama, Pike Road"
ALABAMA_PINCKARD,"Alabama, Pinckard"
ALABAMA_PINE_APPLE,"Alabama, Pine Apple"
ALABAMA_PINE_HILL,"Alabama, Pine Hill"
ALABAMA_PINE_RIDGE,"Alabama, Pine Ridge"
ALABAMA_PINSON,"Alabama, Pinson"
ALABAMA_PISGAH,"Alabama, Pisgah"
ALABAMA_PLEASANT_GROVE,"Alabama, Pleasant Grove"
ALABAMA_PLEASANT_GROVES,"Alabama, Pleasant Groves"
ALABAMA_POINT_CLEAR,"Alabama, Point Clear"
ALABAMA_POLLARD,"Alabama, Pollard"
ALABAMA_POWELL,"Alabama, Powell"
ALABAMA_PRATTVILLE,"Alabama, Prattville"
ALABAMA_PRICEVILLE,"Alabama, Priceville"
ALABAMA_PRICHARD,"Alabama, Prichard"
ALABAMA_PROVIDENCE,"Alabama, Providence"
ALABAMA_RAGLAND,"Alabama, Ragland"
ALABAMA_RAINBOW_CITY,"Alabama, Rainbow City"
ALABAMA_RAINSVILLE,"Alabama, Rainsville"
ALABAMA_RANBURNE,"Alabama, Ranburne"
ALABAMA_RED_BAY,"Alabama, Red Bay"
ALABAMA_RED_LEVEL,"Alabama, Red Level"
ALABAMA_REDSTONE_ARSENAL,"Alabama, Redstone Arsenal"
ALABAMA_REECE_CITY,"Alabama, Reece City"
ALABAMA_REFORM,"Alabama, Reform"
ALABAMA_REHOBETH,"Alabama, Rehobeth"
ALABAMA_REPTON,"Alabama, Repton"
ALABAMA_RIDGEVILLE,"Alabama, Ridgeville"
ALABAMA_RIVER_FALLS,"Alabama, River Falls"
ALABAMA_RIVERSIDE,"Alabama, Riverside"
ALABAMA_RIVERVIEW,"Alabama, Riverview"
ALABAMA_ROANOKE,"Alabama, Roanoke"
ALABAMA_ROBERTSDALE,"Alabama, Robertsdale"
ALABAMA_ROCK_CREEK,"Alabama, Rock Creek"
ALABAMA_ROCKFORD,"Alabama, Rockford"
ALABAMA_ROCK_MILLS,"Alabama, Rock Mills"
ALABAMA_ROGERSVILLE,"Alabama, Rogersville"
ALABAMA_ROSA,"Alabama, Rosa"
ALABAMA_RUSSELLVILLE,"Alabama, Russellville"
ALABAMA_RUTLEDGE,"Alabama, Rutledge"
ALABAMA_ST__FLORIAN,"Alabama, St. Florian"
ALABAMA_SAKS,"Alabama, Saks"
ALABAMA_SAMSON,"Alabama, Samson"
ALABAMA_SAND_ROCK,"Alabama, Sand Rock"
ALABAMA_SANFORD,"Alabama, Sanford"
ALABAMA_SARALAND,"Alabama, Saraland"
ALABAMA_SARDIS_CITY,"Alabama, Sardis City"
ALABAMA_SATSUMA,"Alabama, Satsuma"
ALABAMA_SCOTTSBORO,"Alabama, Scottsboro"
ALABAMA_SECTION,"Alabama, Section"
ALABAMA_SELMA,"Alabama, Selma"
ALABAMA_SELMONT_WEST_SELMONT,"Alabama, Selmont-West Selmont"
ALABAMA_SHEFFIELD,"Alabama, Sheffield"
ALABAMA_SHILOH,"Alabama, Shiloh"
ALABAMA_SHORTER,"Alabama, Shorter"
ALABAMA_SILAS,"Alabama, Silas"
ALABAMA_SILVERHILL,"Alabama, Silverhill"
ALABAMA_SIPSEY,"Alabama, Sipsey"
ALABAMA_SKYLINE,"Alabama, Skyline"
ALABAMA_SLOCOMB,"Alabama, Slocomb"
ALABAMA_SMITHS,"Alabama, Smiths"
ALABAMA_SMOKE_RISE,"Alabama, Smoke Rise"
ALABAMA_SNEAD,"Alabama, Snead"
ALABAMA_SOMERVILLE,"Alabama, Somerville"
ALABAMA_SOUTHSIDE,"Alabama, Southside"
ALABAMA_SOUTH_VINEMONT,"Alabama, South Vinemont"
ALABAMA_SPANISH_FORT,"Alabama, Spanish Fort"
ALABAMA_SPRINGVILLE,"Alabama, Springville"
ALABAMA_STEELE,"Alabama, Steele"
ALABAMA_STEVENSON,"Alabama, Stevenson"
ALABAMA_SULLIGENT,"Alabama, Sulligent"
ALABAMA_SUMITON,"Alabama, Sumiton"
ALABAMA_SUMMERDALE,"Alabama, Summerdale"
ALABAMA_SUSAN_MOORE,"Alabama, Susan Moore"
ALABAMA_SWEET_WATER,"Alabama, Sweet Water"
ALABAMA_SYLACAUGA,"Alabama, Sylacauga"
ALABAMA_SYLVANIA,"Alabama, Sylvania"
ALABAMA_SYLVAN_SPRINGS,"Alabama, Sylvan Springs"
ALABAMA_TALLADEGA,"Alabama, Talladega"
ALABAMA_TALLADEGA_SPRINGS,"Alabama, Talladega Springs"
ALABAMA_TALLASSEE,"Alabama, Tallassee"
ALABAMA_TARRANT,"Alabama, Tarrant"
ALABAMA_TAYLOR,"Alabama, Taylor"
ALABAMA_THEODORE,"Alabama, Theodore"
ALABAMA_THOMASTON,"Alabama, Thomaston"
ALABAMA_THOMASVILLE,"Alabama, Thomasville"
ALABAMA_THORSBY,"Alabama, Thorsby"
ALABAMA_TILLMANS_CORNER,"Alabama, Tillmans Corner"
ALABAMA_TOWN_CREEK,"Alabama, Town Creek"
ALABAMA_TOXEY,"Alabama, Toxey"
ALABAMA_TRAFFORD,"Alabama, Trafford"
ALABAMA_TRIANA,"Alabama, Triana"
ALABAMA_TRINITY,"Alabama, Trinity"
ALABAMA_TROY,"Alabama, Troy"
ALABAMA_TRUSSVILLE,"Alabama, Trussville"
ALABAMA_TUSCALOOSA,"Alabama, Tuscaloosa"
ALABAMA_TUSCUMBIA,"Alabama, Tuscumbia"
ALABAMA_TUSKEGEE,"Alabama, Tuskegee"
ALABAMA_UNDERWOOD_PETERSVILLE,"Alabama, Underwood-Petersville"
ALABAMA_UNION,"Alabama, Union"
ALABAMA_UNION_GROVE,"Alabama, Union Grove"
ALABAMA_UNION_SPRINGS,"Alabama, Union Springs"
ALABAMA_UNIONTOWN,"Alabama, Uniontown"
ALABAMA_VALLEY,"Alabama, Valley"
ALABAMA_VALLEY_HEAD,"Alabama, Valley Head"
ALABAMA_VANCE,"Alabama, Vance"
ALABAMA_VERNON,"Alabama, Vernon"
ALABAMA_VESTAVIA_HILLS,"Alabama, Vestavia Hills"
ALABAMA_VINA,"Alabama, Vina"
ALABAMA_VINCENT,"Alabama, Vincent"
ALABAMA_VREDENBURGH,"Alabama, Vredenburgh"
ALABAMA_WADLEY,"Alabama, Wadley"
ALABAMA_WALDO,"Alabama, Waldo"
ALABAMA_WALNUT_GROVE,"Alabama, Walnut Grove"
ALABAMA_WARRIOR,"Alabama, Warrior"
ALABAMA_WATERLOO,"Alabama, Waterloo"
ALABAMA_WAVERLY,"Alabama, Waverly"
ALABAMA_WEAVER,"Alabama, Weaver"
ALABAMA_WEBB,"Alabama, Webb"
ALABAMA_WEDOWEE,"Alabama, Wedowee"
ALABAMA_WEST_BLOCTON,"Alabama, West Blocton"
ALABAMA_WEST_END_COBB_TOWN,"Alabama, West End-Cobb Town"
ALABAMA_WEST_JEFFERSON,"Alabama, West Jefferson"
ALABAMA_WEST_POINT,"Alabama, West Point"
ALABAMA_WETUMPKA,"Alabama, Wetumpka"
ALABAMA_WHITE_HALL,"Alabama, White Hall"
ALABAMA_WILSONVILLE,"Alabama, Wilsonville"
ALABAMA_WILTON,"Alabama, Wilton"
ALABAMA_WINFIELD,"Alabama, Winfield"
ALABAMA_WOODLAND,"Alabama, Woodland"
ALABAMA_WOODVILLE,"Alabama, Woodville"
ALABAMA_YELLOW_BLUFF,"Alabama, Yellow Bluff"
ALABAMA_YORK,"Alabama, York"
ALASKA_ADAK,"Alaska, Adak"
ALASKA_AKHIOK,"Alaska, Akhiok"
ALASKA_AKIACHAK,"Alaska, Akiachak"
ALASKA_AKIAK,"Alaska, Akiak"
ALASKA_AKUTAN,"Alaska, Akutan"
ALASKA_ALAKANUK,"Alaska, Alakanuk"
ALASKA_ALATNA,"Alaska, Alatna"
ALASKA_ALCAN_BORDER,"Alaska, Alcan Border"
ALASKA_ALEKNAGIK,"Alaska, Aleknagik"
ALASKA_ALENEVA,"Alaska, Aleneva"
